name,scale,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
纳吉·阿都拉萨,1,3,10,14,14,23,10,5,4,11,17,13,11,12,6,6,9,8,8,11,6,12,17,12,11,7,9,10,10
纳吉·阿都拉萨,2,2,1,1,0,4,2,1,0,0,2,2,0,2,1,0,0,0,3,3,1,3,3,0,1,0,3,3,2
安华·依布拉欣,1,0,1,4,0,5,3,0,0,0,2,10,2,1,0,0,2,3,0,0,0,1,1,1,1,1,0,1,0
安华·依布拉欣,2,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
马哈迪·莫哈末,1,2,8,11,6,13,8,6,3,8,9,16,8,12,6,3,7,10,2,11,2,4,13,5,2,5,5,1,2
马哈迪·莫哈末,2,1,1,3,1,4,2,7,1,1,4,4,4,6,2,1,0,3,2,2,0,6,0,5,1,0,2,1,1
林冠英,1,2,3,4,6,6,7,6,3,2,3,5,12,6,5,4,10,8,6,5,6,3,3,6,4,6,3,7,8
林冠英,2,0,0,2,1,5,3,1,1,2,2,3,4,9,4,1,1,5,4,2,0,5,0,2,1,0,1,4,3
廖中莱,1,0,0,1,0,0,2,2,0,0,1,1,0,1,1,0,2,1,0,0,1,0,1,0,0,0,0,0,1
廖中莱,2,0,1,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0
拉菲兹·南利,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
拉菲兹·南利,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
潘儉偉,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
潘儉偉,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
罗斯玛·曼梳,1,1,1,0,1,0,0,0,2,0,0,0,1,1,2,0,2,2,2,0,0,1,0,1,0,0,0,1,3
罗斯玛·曼梳,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
曹观友,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
曹观友,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
郑雨周,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
郑雨周,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
魏家祥,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
魏家祥,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
卡巴星,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0
卡巴星,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
许子根,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
许子根,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哈迪阿旺,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0
哈迪阿旺,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0